Description,Product
"The iconic serum is now recharged with all new radiance boosting power! Bestselling Nordic-C [Valo] Glow Boost Essence is clinically tested* to boost glow and intensely hydrate for energized, visibly more radiant skin.

The miracle-boosting serum is supercharged with a unique blend of antioxidant-rich wild Arctic cloudberry and vitamin C. Now boosted with three types of hyaluronic acid and polyglutamic acid for ultimate glow, the improved formula works to promote the appearance of more even looking skin that feels plumper, smoother and looks more radiant.",Glow Boost Essence
"Replenish your skin’s glow with Nordic-C [Valo] Arctic Berry Oil-Cocktail. The unique bi-phase formula combines a blend of Nordic nature’s most treasured antioxidant-rich berries containing essential fatty acids; Arctic cloudberry, Nordic cranberry and lingonberry, to a cocktail of C, A precursor, B3, B5 and E vitamins. The nurturing serum helps to replenish even the driest skin and protect its beauty for perfectly hydrated, radiant and velvety smooth looking complexion.",Arctic Berry Oil-Cocktail
"Nordic-C [Valo] Glow Moisturizer is clinically tested* to intensely hydrate and boost radiance for smoother and glowing skin. The fresh, energizing gel-cream formula is powered by radiance-boosting Arctic cloudberry and vitamin C. Now boosted with a potent blend of hyaluronic acid and polyglutamic acid for ultimate glow, the improved formula helps to promote the appearance of more even, plumper and radiant skin.",Glow Moisturizer
"100% showed more radiant skin in 14 sleeps* with our bestselling  Nordic [Valo] Glow Renew Night Cream. Now supercharged with all new radiance boosting power, this night cream brings glow, moisturizes, and helps even out skin tone and look of texture by morning.

This iconic night cream is supercharged with a unique blend of antioxidant-rich wild Arctic cloudberry and skin-caring vitamins C, B3, E and pro-vitamin A. Now boosted with hyaluronic acid and polyglutamic acid for ultimate glow and hydration, the improved formula works to promote more radiant, energized, and revitalized complexion every morning.",Glow Renew Night Cream
"Intense hydration for all skin types from the very first application and for 72 hours* with Nordic Hydra [Lähde] Intense Hydration Moisturizer.

Enriched with the new plumping triple hyaluronic acid, replenishing organic Nordic birch sap and pure Arctic spring water, this lightweight cream deeply hydrates and quickly absorbs into the skin leaving it feeling soft and smooth.

Our innovative Hydra-Technology with three molecular weights of hyaluronic acid intensely hydrates multiple levels of skin. Smaller molecular weight penetrates deeper into the skin for plumping hydration while the larger ones create a moisturizing barrier.",Intense Hydration Moisturizer
"Invisible Illumination Dewy Glow Setting Spray is a weightless, hydrating spray that sets makeup with a dewy, radiant finish.
The ultra-fine mist is infused with brightening Nordic willowherb, hydrating Nordic algae and Arctic spring water for an instant hit of quenching hydration. The multi-tasking formula can be used to prep, set and refresh makeup throughout the day for extra hydration and luminosity.",Dewy Glow Setting Spray
"Invisible Illumination Beauty Serum redefines face makeup: as comfortable to wear as skincare and offering sheer coverage for a perfected natural bare-faced finish, it subtly enhances your complexion for a truly radiant, Nordic glow.
Infused with brightening Nordic willowherb, hydrating Nordic algae and vitamin E, the water-fresh formula hydrates, brightens and visibly perfects your skin’s natural radiance for a more even and luminous looking complexion instantly and over time.",Instant Glow Beauty Serum
"Nordic Hydra [LÄHDE] Fresh Hydration Moisturizer SPF50 is an instantly hydrating, lightweight moisturizer for all skin types. This moisturizer with SPF50 is designed to provide sun protection against UVB/UVA rays while delivering intense & long-lasting hydration.

Powered with organic Nordic Birch sap and 2 molecular weights of hyaluronic acid for deep hydration and moisture-binding effect, this moisturizer replenishes your skin's moisture levels for a dewy and hydrated looking complexion.

Lightweight texture glides effortlessly on skin and absorbs instantly without greasy or sticky residue. Weightless finish without white cast makes it perfect for everyday use and suitable for all skin types.",Fresh Hydration Moisturizer SPF50
"Natural Glow Fluid Foundation SPF20 is a weightless foundation with buildable coverage for a naturally radiant, second-skin finish. The effortlessly blendable, air-light formula with radiance boosting Arctic cloudberry and hydrating hyaluronic acid, helps to keep your complexion looking fresh and smooth, leaving you with a beautiful glow all day long. It also protects skin against the harmful effects of UVA/UVB rays (SPF 20).",Natural Glow Fluid Foundation SPF20
"Natural Glow Skin Tone Perfector gives your complexion a natural, healthy-looking glow. The lightweight gel-cream texture glides seamlessly onto the skin leaving behind a fresh and dewy finish.",Natural Glow Skin Tone Perfector
"• A bounce-boosting serum to visibly reduce the look of wrinkles and intensely hydrate
• With vegan collagen peptide, triple hyaluronic acid and Nordic lingonberry
• Fragrance-free, for all skin types

Restore your skin’s youthful bounce with our bestselling Nordic Bloom [Lumo] Vegan Collagen Essence. This concentrated jelly-gel serum targets the signs of collagen loss and is clinically tested* to visibly reduce the appearance of fine lines and wrinkles and improve the look of skin’s elasticity for a smoother and firmer looking complexion.",Vegan Collagen Essence
"• A moisturizing night cream for smoother and firmer looking skin
• With Nordic Berry Pre-Retinol and patented Nordic lingonberry extract
• A nurturing cream texture for all ageing skin types

Nordic Bloom [Lumo] Anti-Wrinkle & Firm Night Moisturizer is clinically tested* to visibly reduce the appearance of wrinkles and fine lines while making skin look firmer and more elastic with continuous use.",Anti-wrinkle & Firm Night Moisturizer
